record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
394,37587338,2023,Nuclear genetic control of mtDNA copy number and heteroplasmy in humans,Nature,1;2;3;4;10;11;14;17,,false,true,AG;GM;HG;MH;OD,AG;AI;CA;GM;HD;HG;HL;MH;NS;OD;TR,1:stroke|hypertension|type 2 diabetes|cholesterol|triglyceride|cardiometabolic|diabetes|heart disease|myocardial infarction; 2:Mendelian randomization|whole-genome sequencing|GWAS|multi-ancestry|WGS|polygenic score|fine-mapping|SAIGE|genomics|GWAS summary|genotype|fine mapping|locus|SNP|genomic|genome-wide association|rare variant|genome-wide|ancestry|imputation|association study|common variant|eQTL|association studies|genetic ancestry|genetic association|loci|gnomAD|heritability|polygenic; 3:AoU Researcher Workbench|Researcher Workbench|variant effect predictor|electronic health record|workbench|random forest|RECOVER; 4:depression; 10:pathogenic variant|hereditary|Mendelian|penetrance|rare disease; 11:Alzheimer|dementia; 14:stroke|neuromuscular|neuropathy; 17:advisory board|trust
396,37169741,2023,A machine learning model identifies patients in need of autoimmune disease testing using electronic health records,Nature Communications,1;3;4;5;6;8;9;12;14;17,,false,true,AI;GM;HL;OD,AG;AI;AR;DC;EY;GM;HD;HL;NS;OD,1:coronary|diabetes|CAD|type 1 diabetes; 3:Researcher Workbench|electronic health record|ICD|workbench|random forest|OMOP|ICD-10|F1 score|validation cohort|EHR|artificial intelligence|predictive model|case definition|interpretability|machine learning|SNOMED|feature selection; 4:anxiety|pain|stress; 5:breast cancer|cancer; 6:education level|equity|Hispanic; 8:HIV|antibody|infection|hepatitis; 9:multiple sclerosis|lupus|sarcoidosis|systemic lupus|vasculitis|Sjogren syndrome|myasthenia gravis|ankylosing spondylitis|autoimmune disease|rheumatoid arthritis|ulcerative colitis|polymyositis|Hashimoto|ankylosing|Sjogren|Crohn|giant cell arteritis|dermatomyositis|autoimmune|psoriasis; 12:vitiligo|psoriasis|cutaneous; 14:multiple sclerosis; 17:advisory board|biospecimen|informed consent|toolkit
397,38634417,2024,DPYD genotyping panels: Impact of population diversity,Clinical and Translational Science,2;6,,false,true,,,2:SNP|ancestry|haplotype|gnomAD; 6:African American|Latino
398,36741312,2023,Promoting patient engagement in cancer genomics research programs: An environmental scan,Frontiers in Genetics,2;5;17,,false,true,CA,CA,2:genomics|genomic; 5:hereditary cancer|oncology|cancer; 17:research participation|participant engagement|patient portal|trust|outreach|recruitment
399,32065041,2020,"Perceived Risks, Benefits, and Interest in Participating in Environmental Health Studies That Share Personal Exposure Data: A U.S. Survey of Prospective Participants",Journal of Empirical Research on Human Research Ethics : JERHRE,5,,false,true,ES,ES,5:breast cancer|cancer
400,38787422,2024,Acne diagnosis patterns in underrepresented groups: an all of us database analysis,Archives of Dermatological Research,6;12,,false,true,,,6:underrepresented groups|underrepresented; 12:acne
401,38783524,2024,The Association Between Atopic Dermatitis and Allergic Contact Dermatitis: A Cross-Sectional Analysis Using the All of Us Research Program,"Dermatitis : Contact, Atopic, Occupational, Drug",12,,false,true,,,12:dermatitis|contact dermatitis|atopic dermatitis
402,38775975,2024,Association of alopecia areata and ischemic heart disease and cerebrovascular in U.S. adults: an all of us database study,Archives of Dermatological Research,1;12;14,,false,true,,,1:heart disease|ischemic heart; 12:alopecia areata|alopecia; 14:cerebrovascular
404,38807286,2024,Prevalence of lichen planopilaris and frontal fibrosing alopecia in the United States: an All of Us database analysis,International Journal of Dermatology,12,,false,true,,,12:frontal fibrosing alopecia|lichen planopilaris|alopecia
405,38797745,2024,Association of pruritus and chronic cough: an all of us database study,The Journal of Dermatological Treatment,,,false,true,,,
411,38901799,2024,Long-Term Systemic Use of Calcium Channel Blockers and Incidence of Primary Open-Angle Glaucoma,Ophthalmology. Glaucoma,1;18,,false,true,,,1:hypertension|diabetes|hyperlipidemia; 18:glaucoma
412,38775812,2024,Barriers to care and health-related quality of life among US adults with several common chronic inflammatory skin diseases: a cross-sectional analysis of the NIH All of Us Research Program,Archives of Dermatological Research,6,,false,true,AR;OD,AR;OD;TR,6:social determinants of health
413,38776916,2024,The common p.Ile291Val variant of ERLIN1 enhances TM6SF2 function and is associated with protection against MASLD,"Med %28New York, N.Y.%29",1,,false,true,,,1:MASLD|cholesterol
414,38796663,2024,Association between psoriasis and obsessive-compulsive disorder: a case-control study in the All of Us research program,Archives of Dermatological Research,4;9;12,,false,true,VA,,4:obsessive-compulsive; 9:psoriasis; 12:psoriasis
415,38795192,2024,Rosacea and autoimmune disease: a case-control study in the all of us database,Archives of Dermatological Research,9;12,,false,true,,,9:autoimmune disease|autoimmune; 12:rosacea
419,38878108,2024,Epidemiology of seborrheic dermatitis among adults in the United States: a cross-sectional analysis,Archives of Dermatological Research,12,,false,true,,,12:dermatitis|seborrheic dermatitis
