record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
1662,40402080,2025,Risk Factors Associated with Gastroenteropancreatic and Lung Neuroendocrine Tumors: A Nested Case-Control Study from The All of Us Research Program,"Cancer Epidemiology, Biomarkers & Prevention : A Publication of the American Association for Cancer Research, Cosponsored by the American Society of Preventive Oncology",1,,false,true,,,1:type 2 diabetes|diabetes
1663,40405064,2025,AoUPRS: A cost-effective and versatile PRS calculator for the All of Us Program,BMC Genomics,1;2,,false,true,HG,HG,1:type 2 diabetes|atrial fibrillation|diabetes|coronary; 2:PRS|SNP|polygenic|genomic
1664,40409746,2025,Unlocking the Potential of Wear Time of a Wearable Device to Enhance Postpartum Depression Screening and Detection: Cross-Sectional Study,JMIR Formative Research,4;7;15,,false,true,,,4:depression|anxiety|mood disorder|mental health; 7:Fitbit|digital phenotyping|wearable|physical activity|wearable device; 15:perinatal|pregnancy|postpartum|maternal
1665,40405426,2025,Vitiligo and associated comorbidities: A case-control study in the All of Us database,Clinical and Experimental Dermatology,1;12,,false,true,,,1:hypertension|hyperlipidemia|endocrine; 12:vitiligo
1666,40408224,2025,Progression trajectories of chronic overlapping pain conditions unveiled across two large clinical data warehouses,Pain,4;15,,false,true,DE,DE,4:pain|mental health; 15:endometriosis
1667,40413420,2025,Veteran participation in the All of Us Research Program: applying an intersectionality lens to evaluate participant diversity,BMC Medical Research Methodology,6,,false,true,OD,OD,6:UBR|underrepresented
1668,40417568,2025,EHR Phenotyping Methods for Measuring Treatment Adherence Among People Living With HIV in All of Us: Towards Disparities and Inequalities in HIV Care Continuum,AMIA ... Annual Symposium Proceedings. AMIA Symposium,3;6;8,,false,true,,,3:OMOP|EHR; 6:disparities; 8:HIV
1669,40417537,2025,Deep Learning-based Time-to-event Analysis of Depression and Asthma using the All of Us Research Program,AMIA ... Annual Symposium Proceedings. AMIA Symposium,3;4;13,,false,true,,,3:deep learning|model performance; 4:depression; 13:asthma
1670,40421552,2025,Perceived Discrimination in Medical Care Settings on A1c Data From the All of Us Program,Health Education & Behavior : The Official Publication of the Society for Public Health Education,1;6,,false,true,,,1:type 2 diabetes|T2DM|diabetes; 6:discrimination|income|Hispanic
1671,40433684,2025,Association of Pathogenic/Likely Pathogenic Genetic Variants for Cardiomyopathies With Clinical Outcomes: A Multiancestry Analysis in the All of Us Research Program,Circulation. Genomic and Precision Medicine,1;2;10,,false,true,,,1:heart failure|arrhythmia; 2:ClinVar|ancestry|multiancestry; 10:pathogenic variant
1672,40437102,2025,Computable phenotypes to identify respiratory viral infections in the All of Us research program,Scientific Reports,3;6;8,,false,true,,,3:EHR|ICD; 6:health disparities|disparities; 8:SARS-CoV-2
1673,40437324,2025,"Racial, ethnic and socioeconomic disparities in healthcare for adult spinal deformity patients",Spine Deformity,6,,false,true,,,6:disparities|race and ethnicity|socioeconomic|racial and ethnic|Hispanic|Black patients
1674,40442974,2025,PTPN2 and Leukopenia in Individuals With Normal TPMT and NUDT15 Metabolizer Status Taking Azathioprine,Clinical and Translational Science,2;9;16,,false,true,,,2:GWAS|genome-wide|genome-wide association|ancestry|genetic risk|association study; 9:lupus|inflammatory bowel disease|systemic lupus|autoimmune; 16:NUDT15|TPMT|metabolizer|azathioprine
1675,40421744,2025,Sex differences in the confounders influencing the relationships linking socioeconomic factors and cognitive performance with family history of Alzheimer's disease and related dementias,Alzheimer's & Dementia : The Journal of the Alzheimer's Association,6;11,,false,true,AG;DA;MH;OD,AG;DA;MH;OD;TR,6:minorities|socioeconomic; 11:dementia|ADRD|Alzheimer|Alzheimer's
1676,40047317,2025,"SLCO1B1 Functional Variants, Bilirubin, Statin-Induced Myotoxicity, and Recent Sub-Saharan African Ancestry: A Precision Medicine Health Equity Study",Clinical Pharmacology and Therapeutics,1;2;6;16,,false,true,HG;HL,HG;HL;OD,1:statin; 2:ancestry|genomic; 6:Black participants|equity|Black patients; 16:pharmacogenetic
1681,40417546,2025,Adaptive Recruitment Resource Allocation to Improve Cohort Representativeness in Participatory Biomedical Datasets,AMIA ... Annual Symposium Proceedings. AMIA Symposium,17,,false,true,,,17:recruitment
1689,40369171,2025,Polygenic Risk Scores in Dilated Cardiomyopathy: Towards the Future,Current Cardiology Reports,2,,false,true,,,2:GWAS|genetic risk score|genome-wide|association studies|genome-wide association|polygenic|genetic risk
1690,40267362,2025,Standardized Measurement of Type 1 Diabetes Polygenic Risk Across Multiancestry Population Cohorts,Diabetes Care,1;2,,false,true,DK;HG,DK;HG;OD,1:diabetes|type 1 diabetes; 2:polygenic|multiancestry
1691,40185865,2025,Genomics and multiomics in the age of precision medicine,Pediatric Research,2,,false,true,,,2:genotype|genomics
1705,41019453,2025,Access to oral health care and its social determinants across the lifespan in the United States,Frontiers in Oral Health,6,,false,true,,,6:social determinants of health|disparities|socioeconomic|SDOH|income|housing
1707,40986403,2025,Machine Learning Approaches to Racial/Ethnic Differences in Social Determinants of Mild Cognitive Impairment and Its Progression to Dementia in the All of Us Research Program,"The Journals of Gerontology. Series B, Psychological Sciences and Social Sciences",3;6;11,,false,true,,,3:machine learning; 6:social determinants of health|disparities|discrimination|SDOH|Hispanic|underrepresented; 11:dementia|mild cognitive impairment|cognitive impairment
1708,40980249,2025,"Younger Age, Female Sex, Low Income, and Poor Mental Health Are Patient-Perceived Risk Factors for Poor Access to Care for Rotator Cuff Tears","Arthroscopy, Sports Medicine, and Rehabilitation",4;6,,false,true,,,4:mental health; 6:disparities|income|access to care
1709,40974255,2025,Chronic pain prevalence and severity in females before & after menopause versus males in a large multi-center database,Pain Management,4;15,,false,true,,,4:psychosocial|pain|chronic pain; 15:menopause
1710,40973771,2025,Comparative polygenic predispositions of treatment-resistant depression in East Asian and European populations,Neuropsychopharmacology : Official Publication of the American College of Neuropsychopharmacology,2;4,,false,true,,,2:polygenic score|polygenic|ancestry; 4:depression|major depressive disorder|MDD|antidepressant|depressive
1717,40939242,2025,Factors associated with acute unscheduled care visits for asthma in the all of US dataset,The American Journal of Emergency Medicine,1;4;6;13,,false,true,,,1:hypertension; 4:anxiety|pain; 6:disparities|socioeconomic|income|African American|neighborhood; 13:asthma
1718,40937424,2025,Changes in mental health care utilisation before and during the COVID-19 pandemic among people living with HIV in the USA: a retrospective cohort study using the All of Us dataset,BMJ Public Health,4;6;8,,false,true,,,4:mental health; 6:disparities|Medicaid|socioeconomic|African American; 8:HIV|COVID-19|infection
1719,40932135,2025,Validation of the American Heart Association Predicting Risk of Cardiovascular Disease Events Equations in Diverse Socioeconomic Groups: The All of Us Cohort,Journal of the American Heart Association,1;6,,false,true,,,1:heart failure|cardiovascular disease|CVD|cardiovascular|glomerular; 6:Latino|discrimination|socioeconomic|racial and ethnic|Hispanic
1720,40913926,2025,Adults With Congenital Heart Disease Have an Increased Prevalence of Autoimmunity,JACC. Advances,1;3,,false,true,,,1:heart disease|obesity; 3:SNOMED|ICD
1721,40913723,2025,Socioeconomic Factors Impact the Perception of Healthcare Experiences in Patients with Cirrhosis,Digestive Diseases and Sciences,1;6,,false,true,,,1:cirrhosis; 6:minority|disparities|socioeconomic|income
1722,40912238,2025,A semi-empirical Bayes approach for calibrating weak instrumental bias in sex-specific Mendelian randomization studies,American Journal of Human Genetics,1;2;10;13,,false,true,,,1:CVD|kidney disease|cardiovascular; 2:GWAS|Mendelian randomization|genome-wide|association studies|genome-wide association; 10:Mendelian; 13:obstructive sleep apnea|insomnia|sleep apnea|OSA
1723,40912237,2025,All of Us Research Program year in review: 2024,American Journal of Human Genetics,,,true,false,,,
1728,40902600,2025,"Evaluating multi-ancestry genome-wide association methods: Statistical power, population structure, and practical implications",American Journal of Human Genetics,2,,false,true,,,2:multi-ancestry|genome-wide|association studies|genome-wide association|ancestry
1729,40898779,2025,The prevalence of endometriosis in adult female patients with hidradenitis suppurativa: a cross-sectional study using the All of Us Research Program,Clinical and Experimental Dermatology,12;15,,false,true,,,12:hidradenitis suppurativa; 15:endometriosis
1730,40896298,2025,Benchmarking Missing Data Imputation Methods for Time Series Using Real-World Test Cases,Proceedings of Machine Learning Research,2;3,,false,true,,,2:imputation; 3:missing data
1733,40890099,2025,Coagulation factor XII haploinsufficiency is protective against venous thromboembolism in a population-scale multidimensional analysis,Nature Communications,1,,false,true,,,1:venous thromboembolism|thromboembolism|thrombosis
1734,40884223,2025,Cost-related barriers to medication use among diverse participants with obesity-associated asthma,Journal of Managed Care & Specialty Pharmacy,1;6;13,,false,true,,,1:BMI|obesity; 6:health disparities|disparities|Latinx|racial and ethnic|Hispanic; 13:asthma
1735,40883272,2025,"Clustering of lymphoid neoplasms by cell of origin, somatic mutation and drug usage profiles: a multi-trait genome-wide association study",Blood Cancer Journal,2;3;5,,false,true,,,2:GWAS|heritability|locus|genome-wide|association studies|genome-wide association|genetic association|loci|genetic risk|association study; 3:clustering; 5:ovarian cancer|colorectal|cancer screening|cancer
1736,40858232,2025,Long-term PM2.5 exposure and mental health disparities: A prospective analysis of the All of Us Research Program,Environmental Research,4;6;19,,false,true,,,4:depression|anxiety|stress|mental health; 6:health disparities|disparities|Black participants|socioeconomic|racism|neighborhood; 19:PM2.5|particulate matter|air pollution
1737,40869462,2025,"Defining the Chronic Complexities of hEDS and HSD: A Global Survey of Diagnostic Challenges, Life-Long Comorbidities, and Unmet Needs",Journal of Clinical Medicine,4;10,,false,true,,,4:pain|chronic pain; 10:Ehlers-Danlos
1738,40881554,2025,The United States Preventive Services Task Force (USPSTF) Guidelines vs. Electronic Health Record (EHR)-Based Screening: A Comparative Accuracy Study in Prostate Cancer,Cureus,3;5,,false,true,,,3:electronic health record|machine learning|SNOMED|EHR|predictive model; 5:prostate cancer|cancer screening|cancer
1739,40865627,2025,Glucagon-like Peptide-1 Receptor Agonists Are Associated With a Lower Risk of Peptic Ulcer Disease: A Nationwide Cohort Study,Clinical Gastroenterology and Hepatology : The Official Clinical Practice Journal of the American Gastroenterological Association,1,,false,true,,,1:type 2 diabetes|T2DM|diabetes|cardiovascular|glycemic
1740,40845034,2025,Understanding the evolving treatment landscape of hidradenitis suppurativa: An analysis of All of Us,PloS One,4;6;12,,false,true,,,4:depression|anxiety; 6:disparities|income|African American|access to care; 12:hidradenitis suppurativa|skin condition
1741,40844317,2025,The All of Us Research Program's Social Media Outreach to Underrepresented Populations: Mixed Methods Analysis,Journal of Medical Internet Research,6;17,,false,true,,,6:underrepresented groups|health disparities|UBR|disparities|race and ethnicity|underrepresented; 17:outreach|recruitment
1742,40837114,2025,Enhancing Health Research with Machine Learning: Practical Case Studies Using the All of Us Researcher Workbench,Data Science in Science,3,,false,true,,,3:Researcher Workbench|machine learning|workbench
1743,40850508,2025,"Associations between long-term metformin use, the risk of vitamin B12 deficiency, and neuropathy: An All of Us research Program study",Diabetes Research and Clinical Practice,1;14;16,,false,true,,,1:type 2 diabetes|T2DM|diabetes; 14:neuropathy|peripheral neuropathy; 16:metformin
1744,40837069,2025,Genome-Wide Association Study and Rare Variant Association Studies of Strabismus in the All of Us Research Program,Ophthalmology Science,1;2;14;18,,false,true,,,1:stroke; 2:locus|genome-wide|association studies|genome-wide association|rare variant|loci|ancestry|association study; 14:stroke; 18:strabismus|eye disease
1747,40827941,2025,Polygenic Resistance to Blood Pressure Treatment and Stroke Risk: Insights from the All of Us Research Program,Annals of Neurology,1;2;14,14.2-stroke-cerebro,false,true,,,1:hypertension|stroke|blood pressure|hypertensive; 2:polygenic risk score|polygenic|genetic association|genetic risk|association study; 14:stroke
1750,40802651,2025,Genetic Associations in Non-Europeans with Pulmonary Fibrosis: Analysis of the All of Us Cohort,American Journal of Respiratory and Critical Care Medicine,13,,false,true,,,13:pulmonary
1753,40794368,2025,Are Aggregated Electronic Health Record Datasets Good for Research?,Journal of General Internal Medicine,3,,false,true,,,3:electronic health record|EHR
1754,40792640,2025,The Intersection of Disability and Cancer: Improving Outcomes in Cancer Patients With Disabilities,Annals of Surgery,4;5;6,,false,true,,,4:pain|mental health; 5:melanoma|colorectal|cancer; 6:disparities|socioeconomic|Hispanic
1758,40779583,2025,Perceived stress and allostatic load: Results from the All of Us Research Program,PloS One,4;6,,false,true,,,4:loneliness|stress; 6:social determinants of health|Medicaid|discrimination|income|Hispanic|marginalized|poverty|neighborhood|food insecurity
1761,40776288,2025,Predicting Infection Risk in Rheumatoid Arthritis Patients Treated with Biological and Targeted Synthetic Disease-Modifying Anti-Rheumatic Drugs: An Application of Machine Learning,Studies in Health Technology and Informatics,3;8;9,,false,true,,,3:machine learning; 8:infection; 9:rheumatoid arthritis|RA
1762,40776023,2025,Unveiling Pharmacogenomic Patterns in Breast Cancer Through Big Data,Studies in Health Technology and Informatics,3;5;16,,false,true,,,3:electronic health record|EHR; 5:breast cancer|cancer; 16:pharmacogenomic|CYP2D6|tamoxifen|metabolizer
1763,40776020,2025,Type 2 Diabetes Subtyping via Phenotype and Genotype Co-Learning,Studies in Health Technology and Informatics,1;2,,false,true,,,1:type 2 diabetes|T2D|diabetes; 2:genotype|genetic risk
1764,40774444,2025,Association of activity with the risk of developing musculoskeletal pain in the All of Us research program,The Journal of Pain,3;4;7,,false,true,,,3:electronic health record|EHR; 4:pain; 7:Fitbit|physical activity
1765,40771618,2025,ENABLING A HEALTHIER FUTURE FOR ALL THROUGH PRECISION MEDICINE,Transactions of the American Clinical and Climatological Association,5;7,,false,true,,,5:ALL; 7:wearable|wearable device
1766,40771450,2025,A Case-Control Study of Trichotillomania Patients Using a National Database,Skin Appendage Disorders,4,,false,true,,,4:depression|anxiety|alcohol abuse|social anxiety|stress|obsessive-compulsive|post-traumatic stress|psychiatric
1767,40771441,2025,Management and Genetics of Alopecia Areata within the USA: A Cross-Sectional Study of All of Us,Skin Appendage Disorders,2;12,,false,true,,,2:ancestry|genomic; 12:alopecia|alopecia areata|psoriasis|vitiligo|atopic dermatitis|dermatitis
1768,40770708,2025,Whole exome sequencing and polygenic risk assessment for kidney functions and clinical management in both hospital-based cohort and population-based Asian cohorts,Journal of Biomedical Science,1;2;10,,false,true,,,1:diabetes|CKD|kidney disease; 2:GWAS|polygenic score|polygenic|exome sequencing|genetic risk|exome|genomic; 10:monogenic
1771,40763922,2025,APOE Genotype and Statin Response: Evidence From the UK Biobank and All of Us Program,Clinical and Translational Science,1;2;11,,false,true,,,1:lipid|cardiovascular|statin; 2:genotype; 11:APOE
