record_id,pubmed_id,year,themes,focus_areas,n_focus_areas,is_orphan_pub,title
230,,2023,4;6,FA1;FA5;FA7,3,0,Health disparities in the treatment of bipolar disorder
233,37124163,2023,6;8;17,FA1;FA4;FA7,3,0,Modeling the impact of digital readiness in recruiting and sustaining underrepresented groups: Data from the All of Us research program
234,37109001,2023,5;6;17,FA1;FA4;FA7;FA8,4,0,All of Us and the Promise of Precision Medicine: Achieving Equitable Access for Federally Qualified Health Center Patients
235,37107973,2023,1;3,FA1;FA8,2,0,Application of Machine Learning Algorithms to Predict Uncontrolled Diabetes Using the All of Us Research Program Data
236,36809550,2023,3,,0,1,Managing re-identification risks while providing access to the All of Us research program
237,37114382,2023,5;6;12,FA1;FA7;FA8,3,0,Investigating the association between gender minority identity and skin cancer prevalence: A cohort study in the United States All of Us research program
239,39586798,2024,1;6;11,FA1;FA3;FA7;FA8,4,0,Identifying diagnosed major chronic diseases associated with recent housing instability among aging adults: data from the 'All of Us' research program
241,,2024,3;12,FA1;FA7,2,0,Cross-sectional Prevalence Data for Lichen Sclerosis et Atrophicus in the All of Us Database: Implications for Routine Genital Skin Examination
243,36482257,2022,4;6;12,FA1;FA5;FA7,3,0,Psychiatric comorbidities of Hidradenitis suppurativa in underrepresented groups: a case-control study utilizing the all of us research program
244,36529377,2022,9;12,FA1;FA7,2,0,Lichen sclerosus among women with psoriasis: A cross-sectional study in the All of Us research program
245,36529268,2022,4;8,FA1;FA5,2,0,Effect of visual impairment on depression and anxiety during the COVID-19 pandemic in the United States
249,40133288,2025,1;2;3;11;16,FA1;FA3;FA4;FA8,4,0,Leveraging large-scale biobank EHRs to enhance pharmacogenetics of cardiometabolic disease medications
250,36995727,2023,5;6;17,FA1;FA4;FA7;FA8,4,0,Prevalence of Delayed or Forgone Care Due to Patient-Clinician Identity Discordance Among US Cancer Survivors
251,,2023,1;3;6;12;13,FA1;FA7;FA8,3,0,The association of hidradenitis suppurativa with obstructive sleep apnea: A cross‐sectional study using the All of Us database
254,,2024,4,FA1;FA5,2,0,Racial Differences in Incidence of Anxiety and Depression Among Mastectomy and Breast Reconstruction Patients Using the All of Us Database
256,31045611,2019,7,,0,1,Development of the Initial Surveys for the All of Us Research Program
258,35661997,2022,12,FA1;FA7,2,0,Thyroid disorders associated with lichen sclerosus: a case-control study in the All of Us Research Program
265,33704080,2021,6;17,FA4;FA7,2,0,Motivation to Participate in Precision Health Research and Acceptability of Texting as a Recruitment and Intervention Strategy Among Vietnamese Americans: Qualitative Study
267,35927974,2022,3,,0,1,Keeping synthetic patients on track: feedback mechanisms to mitigate performance drift in longitudinal health data simulation
268,36048778,2022,3;5,FA1;FA8,2,0,"An Overview of Cancer in the First 315,000 All of Us Participants"
269,,2022,1;6,FA1;FA7;FA8,3,0,Impact of cardiovascular disease: a literature review of the All of Us Research Program - An NIH Precision Medicine Initiative
271,40135579,2025,1,FA1;FA8,2,0,Patient Predictors of Combination Therapy as Initial Hypertension Treatment: The AOURP (All of Us Research Program) Registry
272,36394556,2022,18,FA1;FA7,2,0,Associations Between Thyroid Eye Disease and Glaucoma Among Those Enrolled in the National Institutes of Health All of Us Research Program
273,36401617,2022,1;4;8;12,FA1;FA5;FA7;FA8,4,0,Lichen planus is associated with depression and anxiety: a cross-sectional study in the All of Us research program
274,40130972,2025,1;13,FA1;FA8,2,0,"Associations between Class I, II, or III Obesity and Health Outcomes"
276,36707438,2023,9;12;13;18,FA1;FA7,2,0,Psoriasis associated with asthma and allergic rhinitis: a US-based cross-sectional study using the All of US Research Program
277,36705447,2023,3;6;9,FA1;FA7,2,0,Sex and Racial Differences in Systemic Lupus Erythematosus Among US Adults in the All of Us Research Program
282,31580791,2019,17,FA4;FA7,2,0,Return of Value in the New Era of Biomedical Research-One Size Will Not Fit All
284,36371759,2022,,,0,1,'Extremely slow and capricious': A qualitative exploration of genetic researcher priorities in selecting shared data resources
286,37163649,2023,5;6,FA1;FA7;FA8,3,0,Socioeconomic and Racial/Ethnic Disparities in Perception of Health Status and Literacy in Spine Oncological Patients: Insights from the All of Us Research Program
287,37459328,2023,5,FA1;FA8,2,0,Family and personal history of cancer in the All of Us research program for precision medicine
292,35013250,2022,1;3,FA1;FA8,2,0,Integrating gene expression and clinical data to identify drug repurposing candidates for hyperlipidemia and hypertension
293,35721298,2022,12,FA1;FA7,2,0,Prevalence of lichen planopilaris in the United States: A cross-sectional study of the All of Us research program
294,36468789,2022,12;18,FA1;FA7,2,0,The association of atopic dermatitis and chronic rhinosinusitis in adults: a cross-sectional study using the All of Us research program
296,36535714,2022,4;6;8,FA1;FA5;FA7,3,0,Effects of housing environments on COVID-19 transmission and mental health revealed by COVID-19 Participant Experience data from the All of Us Research Program in the USA: a case-control study
