record_id,pubmed_id,year,title,themes,ic_admin_original,ic_admin_reattributed,cofunding_ics_original,fractional_attribution
172,36414097,2022,Vitiligo in underrepresented communities: An All of Us database analysis,6;12,OD,NIMHD(0.50);NIAMS(0.35);NCI(0.15),OD;TR,NIMHD(0.500);NIAMS(0.350);NCI(0.150)
173,34969350,2021,Social determinants associated with loss of an eye in the United States using the All of Us nationwide database,6;18,EY;OD,EY;OD,DE;EY;OD,NIMHD(0.500);NEI(0.500)
182,36746242,2023,Associations between Socioeconomic Factors and Visit Adherence among Patients with Glaucoma in the All of Us Research Program,6;18,EY;MD;OD;TR,EY;MD;OD;TR,DE;EY;MD;OD;TR,NIMHD(0.500);NEI(0.500)
187,37081803,2023,Association between atopic dermatitis and eosinophilic esophagitis: a cross-sectional study in the All of Us Research Program,12,DK;OD;TR,DK;OD;TR,DK;OD;TR,NIAMS(0.700);NCI(0.300)
188,37072623,2023,"Common and rare variants associated with cardiometabolic traits across 98,622 whole-genome sequences in the All of Us research program",1;2,HL;OD,HL;OD,HL;OD;TR,NHGRI(0.500);NHLBI(0.350);NIDDK(0.150)
191,37200348,2023,Importance of missingness in baseline variables: A case study of the All of Us Research Program,6,HL;OD,HL;OD,HL;OD,NIMHD(1.000)
192,37188476,2023,Protocol for developing a personalised prediction model for viral suppression among under-represented populations in the context of the COVID-19 pandemic,3;6;8,AI,AI,AI;OD,NLM(0.333);NIMHD(0.333);NIAID(0.333)
193,37178685,2023,Declining autozygosity over time: An exploration in over 1 million individuals from three diverse cohorts,,DA;DC;MH;OD;TR,DA;DC;MH;OD;TR,DA;DC;MH;OD;TR,NIDA(0.250);NIDCD-OOS(0.250);NIMH(0.250);NCATS(0.250)
200,36712313,2022,Cannabis Use and CKD: Epidemiological Associations and Mendelian Randomization,1;2;4;10,DK;GM;HL;OD;TR,DK;GM;HL;OD;TR,AG;AI;AR;DC;DK;EY;GM;HD;HL;NS;OD;TR,NHGRI(0.375);NHLBI(0.175);NIMH(0.175);NCATS(0.125);NIDDK(0.075);NIDA(0.050);NIAAA(0.025)
205,37218289,2023,De-black-boxing health AI: demonstrating reproducible machine learning computable phenotypes using the N3C-RECOVER Long COVID model in the All of Us data repository,3;8,GM;HL;OD;TR,GM;HL;OD;TR,AG;AI;CA;DA;DC;DK;GM;HG;HL;NS;OD;TR,NLM(0.500);NIAID(0.500)
206,37216451,2023,Higher Hospital Frailty Risk Score Is Associated With Increased Risk of Stroke: Observational and Genetic Analyses,1;2;11;14,AG;NS;OD;TR,AG;NS;OD;TR,AG;NS;OD;TR,NINDS(0.300);NHGRI(0.250);NIA(0.200);NHLBI(0.175);NIDDK(0.075)
207,37398505,2023,Risk Factors for Multiple Sclerosis Development After Optic Neuritis Diagnosis Using a Nationwide Health Records Database,6;9;14,,,,NIMHD(0.333);NINDS(0.333);NIAID(0.167);NIAMS(0.167)
208,37356625,2023,Examining the burden of psoriasis and psoriatic arthritis in a US adult cohort using the All of Us Research Program,9;12,OD,NIAMS(0.60);NIAID(0.25);NCI(0.15),OD;TR,NIAMS(0.600);NIAID(0.250);NCI(0.150)
