pubmed_id,year,title,journal,themes,subthemes,publication_types
32754745,2020,The role of overweight in the association between the Mediterranean diet and the risk of type 2 diabetes mellitus: a mediation analysis among 21 585 UK biobank participants.,International journal of epidemiology,1,,"Journal Article;Research Support, Non-U.S. Gov't"
32748028,2020,"Evaluating the impact of AMPK activation, a target of metformin, on risk of cardiovascular diseases and cancer in the UK Biobank: a Mendelian randomisation study.",Diabetologia,1;5;10;16,,"Journal Article;Research Support, Non-U.S. Gov't"
32747172,2020,Analysis of exome-sequenced UK Biobank subjects implicates genes affecting risk of hyperlipidaemia.,Molecular genetics and metabolism,2,,"Journal Article;Research Support, Non-U.S. Gov't"
32746843,2020,"The association between recreational screen time and cancer risk: findings from the UK Biobank, a large prospective cohort study.",The international journal of behavioral nutrition and physical activity,5;7;15,,"Journal Article;Research Support, Non-U.S. Gov't"
32746141,2020,Deep Learning-Based Detection and Correction of Cardiac MR Motion Artefacts During Reconstruction for High-Quality Segmentation.,IEEE transactions on medical imaging,1;3,,"Journal Article;Research Support, Non-U.S. Gov't"
32745823,2020,Do neighbourhood characteristics act together to influence BMI? A cross-sectional study of urban parks and takeaway/fast-food stores as modifiers of the effect of physical activity facilities.,Social science & medicine (1982),1;7,,Journal Article
32744306,2020,Genetic risk factors of ME/CFS: a critical review.,Human molecular genetics,2,,"Journal Article;Research Support, Non-U.S. Gov't;Review"
32741009,2020,Chances and challenges of machine learning-based disease classification in genetic association studies illustrated on age-related macular degeneration.,Genetic epidemiology,2;3;18,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32740755,2021,Genetically determined intelligence and coronary artery disease risk.,Clinical research in cardiology : official journal of the German Cardiac Society,1;2,,Journal Article;Multicenter Study
32737316,2020,Testing and controlling for horizontal pleiotropy with probabilistic Mendelian randomization in transcriptome-wide association studies.,Nature communications,2;10,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32737104,2020,"Systemic evaluation of the relationship between psoriasis, psoriatic arthritis and osteoporosis: observational and Mendelian randomisation study.",Annals of the rheumatic diseases,2;9;10;12,,"Journal Article;Observational Study;Research Support, Non-U.S. Gov't"
32732917,2020,Inferring disease subtypes from clusters in explanation space.,Scientific reports,3,,Journal Article
32732295,2020,Broad phenotype of cysteine-altering NOTCH3 variants in UK Biobank: CADASIL to nonpenetrance.,Neurology,1;3;14,,"Journal Article;Research Support, Non-U.S. Gov't"
32732251,2020,Pathway Analysis of Renal Cell Carcinoma Genome-Wide Association Studies Identifies Novel Associations.,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",1;2;5,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32728095,2020,Association of obesity status and metabolic syndrome with site-specific cancers: a population-based cohort study.,British journal of cancer,1,,"Journal Article;Research Support, Non-U.S. Gov't"
32727815,2020,Psychiatric comorbid disorders of cognition: a machine learning approach using 1175 UK Biobank participants.,Evidence-based mental health,1;3;4,,Journal Article
32726343,2020,Development and validation of risk prediction models for multiple cardiovascular diseases and Type 2 diabetes.,PloS one,1;3;14,,"Journal Article;Research Support, Non-U.S. Gov't;Validation Study"
32725961,2020,Retinal Vascular Tortuosity and Diameter Associations with Adiposity and Components of Body Composition.,"Obesity (Silver Spring, Md.)",1;18,,"Journal Article;Research Support, Non-U.S. Gov't"
32723006,2020,Does the association between physical capability and mortality differ by deprivation? Findings from the UK Biobank population-based cohort study.,Journal of sports sciences,6,,Journal Article
32719433,2020,Four pleiotropic loci associated with fat mass and lean mass.,International journal of obesity (2005),2,,"Journal Article;Meta-Analysis;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32717139,2020,Insulin-like growth factor-1 and site-specific cancers: A Mendelian randomization study.,Cancer medicine,2;5;10,,"Journal Article;Research Support, Non-U.S. Gov't"
32716562,2020,Role of zinc transporter ZIP12 in susceptibility-weighted brain magnetic resonance imaging (MRI) phenotypes and mitochondrial function.,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2;11,,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
32713607,2020,Understanding How Much TV is Too Much: A Nonlinear Analysis of the Association Between Television Viewing Time and Adverse Health Outcomes.,Mayo Clinic proceedings,1;5;14,,Journal Article
