pubmed_id,year,title,journal,themes,subthemes,publication_types
40688943,2025,Plasma Homocysteine Levels and Intracerebral Hemorrhage: A Mendelian Randomization Analysis.,Cureus,1;2;10;14,,Journal Article
40688334,2025,Bayesian-weighted Mendelian randomization reveals sleep apnea syndrome mediates the BMI-chronic pain link.,Journal of thoracic disease,1;2;3;4;10;13,,Journal Article
40686015,2025,Genetic Insights Into the Link Between Restless Legs Syndrome and Diabetic Nephropathy Risk.,Brain and behavior,1;2;14;18,,Journal Article
40684330,2026,Identification of potential biomarkers and therapeutic targets for cerebral venous thrombosis.,Neurological research,1;2;14,,Journal Article
40682633,2025,Targeted screening and single-cell analysis of genetic variants in melanoma using Mendelian randomization.,Discover oncology,2;5;10,,Journal Article
40682483,2025,Genetic Loci Associated With Periodontitis: The FinnGen Study Based on National Health Registers.,Journal of clinical periodontology,2;11,,"Journal Article;Research Support, Non-U.S. Gov't"
40682148,2025,Causal association between immunoglobulin G N-glycosylation patterns and diabetic complications: two-sample mendelian randomization.,Diabetology & metabolic syndrome,1;2;10;18,,Journal Article
40680229,2025,The association of a polygenic lifespan score with the risk of common age-related diseases and mortality.,"The journals of gerontology. Series A, Biological sciences and medical sciences",1;2;11;14,,"Journal Article;Research Support, Non-U.S. Gov't"
40679760,2025,FLT1 as a Protective Factor in Ischemic Stroke: Insights from Real-World Pharmacovigilance and Genetic Evidence.,Translational stroke research,1;2;14,14.2-stroke-cerebro,Journal Article
40675620,2025,Plasma complement proteins as biomarkers and therapeutic targets in chronic kidney disease: a Mendelian randomization analysis.,Renal failure,1;2;10,,Journal Article
