pubmed_id,year,title,journal,themes,subthemes,publication_types
39923994,2025,Lactation duration and the risk of type 2 diabetes mellitus in parous women: A perspective on socioeconomic status disparity.,Journal of advanced research,1;6;15,,Journal Article
39910910,2025,"Associations Between Snoring, Body Mass Index and Coronary Artery Diseases: Observational and Mendelian Randomization Study in Asia.","Respirology (Carlton, Vic.)",1;2;10,,"Journal Article;Observational Study;Research Support, Non-U.S. Gov't"
39845984,2025,Spirometric pattern and cardiovascular risk: a prospective study of 0.3 million Chinese never-smokers.,The Lancet regional health. Western Pacific,1;14,,Journal Article
39828548,2025,"[Adiposity-related anthropometric parameters, indoles and atherosclerotic cardiovascular disease in Chinese adults: a prospective cohort study].",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1,,English Abstract;Journal Article
39762253,2025,A global analysis of dairy consumption and incident cardiovascular disease.,Nature communications,1;14,,Journal Article;Meta-Analysis
39740297,2025,Normal-weight obesity subtypes and 10-year risks of major vascular diseases in 0.3 million adults.,"Clinical nutrition (Edinburgh, Scotland)",1;14,,Journal Article
39737804,2025,Adiposity and risks of gastrointestinal cancers: A 10-year prospective study of 0.5 million Chinese adults.,International journal of cancer,5;12,,Journal Article
39736748,2024,Comparison of models to predict incident chronic liver disease: a systematic review and external validation in Chinese adults.,BMC medicine,1;5,,"Systematic Review;Journal Article;Meta-Analysis;Comparative Study;Validation Study;Research Support, Non-U.S. Gov't"
39674076,2025,"Age at menarche in relation to risk of chronic obstructive pulmonary disease: Results from the China Kadoorie Biobank study of 300,000 Chinese women.",Maturitas,13;15,,Journal Article
39656835,2025,Phenotypic Versus Genetic Mismatch of BMI and Type 2 Diabetes: Evidence From Two Prospective Cohort Studies.,Diabetes,1;2,,Journal Article
39653525,2024,[Associations of plasma acylcarnitine and bile acid levels with incidence of coronary heart disease in Chinese adults].,Zhonghua yi xue za zhi,1;3,,English Abstract;Journal Article
39649266,2024,Income level is associated with differences in primary and secondary stroke prevention in China.,Archives of medical science : AMS,1;6;14,14.2-stroke-cerebro,Journal Article
39643329,2024,Associations of long-term nitrogen dioxide exposure with a wide spectrum of diseases: a prospective cohort study of 0·5 million Chinese adults.,The Lancet. Public health,1;3;6;13;14,,"Journal Article;Research Support, Non-U.S. Gov't"
39643204,2025,Aortic Dissection Incidence and Risk Factor Analysis: Findings from the China Kadoorie Biobank.,European journal of vascular and endovascular surgery : the official journal of the European Society for Vascular Surgery,1,,Journal Article
39578996,2025,Associations of Muscle-Related Metrics With Respiratory Disease in Chinese Adults: A Prospective Cohort Study.,"Journal of cachexia, sarcopenia and muscle",,,Journal Article
39578356,2024,Risk factors for severe COPD exacerbation in Chinese adults.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease,4;13,,Journal Article
39570587,2024,Physical Activity and All-Cause Mortality by Age in 4 Multinational Megacohorts.,JAMA network open,1;7,,Journal Article
39513287,2024,Preserved vegetable consumption and gastrointestinal tract cancers: A prospective study.,Journal of global health,5,,Journal Article
39465247,2024,Cost-Effectiveness of Salt Substitution and Antihypertensive Drug Treatment in Chinese Prehypertensive Adults.,"Hypertension (Dallas, Tex. : 1979)",1,,Journal Article
39444118,2024,[Association of solid fuel use for heating and smoking with respiratory diseases: a prospective cohort study].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,4,,English Abstract;Journal Article
39443903,2024,Association between sleep behaviors and stroke in Southwest China: a prospective cohort study.,BMC public health,1;13;14,14.2-stroke-cerebro,"Journal Article;Research Support, Non-U.S. Gov't"
39401857,2024,"Mosaic loss of chromosome Y, tobacco smoking and risk of age-related lung diseases: insights from two prospective cohorts.",The European respiratory journal,4;5;13,,Journal Article
39385593,2024,Conventional and genetic associations of BMI with major vascular and non-vascular disease incidence and mortality in a relatively lean Chinese population: U-shaped relationship revisited.,International journal of epidemiology,1;2;14,,Journal Article
